experiment,participant_id,trial_id,trial_order,phase_id,stimulus_left,stimulus_right,response,response_side,condition_raw,device,age,gender,rt_measure
EXP2,2,exp2_t116,116,judgment,stanco,divano,stanco,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t117,117,judgment,camera,cortesia,cortesia,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t118,118,judgment,elefante,innocente,innocente,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t119,119,judgment,giardino,salute,salute,right,1,mouse,20.0,M,keypress
EXP2,3,exp2_t0,0,judgment,lussuria,prateria,prateria,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t1,1,judgment,camera,cortesia,camera,left,2,mouse,21.0,F,keypress
EXP2,3,exp2_t2,2,judgment,natale,albero,albero,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t3,3,judgment,mercato,vantaggio,mercato,left,2,mouse,21.0,F,keypress
EXP2,3,exp2_t4,4,judgment,dono,perspicacia,dono,left,2,mouse,21.0,F,keypress
EXP2,3,exp2_t5,5,judgment,fetido,calza,calza,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t6,6,judgment,umano,morale,umano,left,2,mouse,21.0,F,keypress
EXP2,3,exp2_t7,7,judgment,magnifico,zanzara,zanzara,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t8,8,judgment,scarafaggio,orribile,scarafaggio,left,2,mouse,21.0,F,keypress
EXP2,3,exp2_t9,9,judgment,tavolo,pressione,tavolo,left,2,mouse,21.0,F,keypress
EXP2,3,exp2_t10,10,judgment,buio,balcone,balcone,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t11,11,judgment,atletica,scarpa,scarpa,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t12,12,judgment,estasi,sughero,sughero,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t13,13,judgment,pianta,saggio,pianta,left,2,mouse,21.0,F,keypress
EXP2,3,exp2_t14,14,judgment,assediato,ferito,ferito,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t15,15,judgment,bicicletta,passione,bicicletta,left,2,mouse,21.0,F,keypress
EXP2,3,exp2_t16,16,judgment,crepuscolo,orologio,orologio,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t17,17,judgment,deforme,tronco,tronco,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t18,18,judgment,rancido,insalata,insalata,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t19,19,judgment,avventura,vacanza,avventura,left,2,mouse,21.0,F,keypress
EXP2,3,exp2_t20,20,judgment,riparato,tenda,tenda,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t21,21,judgment,prestigio,lusso,lusso,right,2,mouse,21.0,F,keypress
EXP2,3,exp2_t22,22,judgment,infuriato,forchetta,forchetta,right,2,mouse,21.0,F,keypress
